
timestamp,Unicode,score
Sat Jan  2 14:48:28 2021,2665,802455804
Sat Jan  2 14:48:28 2021,1F60A,706779478
Sat Jan  2 14:48:28 2021,1F495,543646607
Sat Jan  2 14:48:28 2021,1F612,528132778
Sat Jan  2 14:48:28 2021,1F618,524208836
Sat Jan  2 14:58:29 2021,1F602,3122402743
Sat Jan  2 14:58:29 2021,2764,1560967770
Sat Jan  2 14:58:29 2021,1F62D,1112365419
Sat Jan  2 14:58:29 2021,1F60D,1108753000
Sat Jan  2 14:58:29 2021,267B,968628249
Sat Jan  2 14:58:29 2021,2665,802456845
Sat Jan  2 14:58:29 2021,1F60A,706781239
Sat Jan  2 14:58:29 2021,1F495,543647457
Sat Jan  2 14:58:29 2021,1F612,528133371
Sat Jan  2 14:58:29 2021,1F618,524209977
Sat Jan  2 15:08:29 2021,1F602,3122412207
Sat Jan  2 15:08:29 2021,2764,1560973957
Sat Jan  2 15:08:29 2021,1F62D,1112373144
Sat Jan  2 15:08:29 2021,1F60D,1108756270
Sat Jan  2 15:08:29 2021,267B,968628303
Sat Jan  2 15:08:29 2021,2665,802458032
Sat Jan  2 15:08:29 2021,1F60A,706782998
Sat Jan  2 15:08:29 2021,1F495,543648514
Sat Jan  2 15:08:29 2021,1F612,528133992
Sat Jan  2 15:08:29 2021,1F618,524211163
Sat Jan  2 15:18:30 2021,1F602,3122421929
Sat Jan  2 15:18:30 2021,2764,1560980214
Sat Jan  2 15:18:30 2021,1F62D,1112380795
Sat Jan  2 15:18:30 2021,1F60D,1108759234
Sat Jan  2 15:18:30 2021,267B,968628516
Sat Jan  2 15:18:30 2021,2665,802459242
Sat Jan  2 15:18:30 2021,1F60A,706784871
Sat Jan  2 15:18:30 2021,1F495,543649648
Sat Jan  2 15:18:30 2021,1F612,528134572
Sat Jan  2 15:18:30 2021,1F618,524212528
Sat Jan  2 15:28:30 2021,1F602,3122431690
Sat Jan  2 15:28:30 2021,2764,1560986446
Sat Jan  2 15:28:30 2021,1F62D,1112388446
Sat Jan  2 15:28:30 2021,1F60D,1108762281
Sat Jan  2 15:28:30 2021,267B,968628646
Sat Jan  2 15:28:30 2021,2665,802460351
Sat Jan  2 15:28:30 2021,1F60A,706786689
Sat Jan  2 15:28:30 2021,1F495,543650648
Sat Jan  2 15:28:30 2021,1F612,528135156
Sat Jan  2 15:28:30 2021,1F618,524213844
timestamp,Unicode,score
Sat Jan  2 20:24:32 2021,1F602,3122767208
Sat Jan  2 20:24:32 2021,2764,1561181264
Sat Jan  2 20:24:32 2021,1F62D,1112619004
Sat Jan  2 20:24:32 2021,1F60D,1108860549
Sat Jan  2 20:24:32 2021,267B,968630227
Sat Jan  2 20:24:32 2021,2665,802498169
Sat Jan  2 20:24:32 2021,1F60A,706841886
Sat Jan  2 20:24:32 2021,1F495,543689008
Sat Jan  2 20:24:32 2021,1F612,528155972
Sat Jan  2 20:24:32 2021,1F618,524251116
Sat Jan  2 20:34:32 2021,1F602,3122778067
Sat Jan  2 20:34:32 2021,2764,1561186866
Sat Jan  2 20:34:32 2021,1F62D,1112625107
Sat Jan  2 20:34:32 2021,1F60D,1108863545
Sat Jan  2 20:34:32 2021,267B,968630278
Sat Jan  2 20:34:32 2021,2665,802499309
Sat Jan  2 20:34:32 2021,1F60A,706843416
Sat Jan  2 20:34:32 2021,1F495,543690008
